2019-07-03 20:11:50,470 	Vs_SuperSampleBots01Test 	Actual Win: 67.0% (2000 rounds).	 Expect Win: 63.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:17:13,422 	Vs_SuperSampleBots02Test 	Actual Win: 61.95% (2000 rounds).	 Expect Win: 55.00000000000001%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:17:14,615 	Vs_SpinBotTest 	Actual Win: 100.0% (20 rounds).	 Expect Win: 100.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:17:14,615 	Vs_SpinBotTest 	ActualBulletDamage: 1750. Expect: 1600.0	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:17:16,132 	Vs_WallsTest 	Actual Win: 100.0% (20 rounds).	 Expect Win: 100.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:17:16,132 	Vs_WallsTest 	ActualBulletDamage: 1880. Expect: 1800.0	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:17:26,582 	Vs_SuperMecuritoBotTest 	Actual Win: 94.0% (100 rounds).	 Expect Win: 85.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:17:30,832 	Vs_SuperRamFireTest 	Actual Win: 78.0% (100 rounds).	 Expect Win: 75.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:18:14,715 	Vs_SuperSpinBotTest 	Actual Win: 74.8% (500 rounds).	 Expect Win: 70.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:18:22,246 	Vs_SuperWallsTest 	Actual Win: 82.0% (100 rounds).	 Expect Win: 70.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:19:11,032 	Vs_BlackPearlTest 	Actual Win: 66.0% (500 rounds).	 Expect Win: 65.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:20:38,236 	Vs_DiamondTest 	Actual Win: 4.0% (100 rounds).	 Expect Win: 1.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:20:53,790 	Vs_HawkOnFireTest 	Actual Win: 94.0% (100 rounds).	 Expect Win: 50.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 20:22:28,563 	Vs_MoebiusTest 	Actual Win: 93.8% (500 rounds).	 Expect Win: 90.0%	 2.5.2.407.46a6ab1	 46a6ab19e54b6a5e1a94f187d0e1ec484a715d7b	 2.5.2 
2019-07-03 21:11:22,084 	Vs_BlackPearl_AndMoebiusTest 	Actual Win: 50.05% (2000 rounds).	 Expect Win: 45.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:16:03,583 	Vs_BlackPearl_AndOthersTest 	Actual Win: 44.9% (2000 rounds).	 Expect Win: 45.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:18:06,959 	Vs_Diamond_HawkOnFire_BlackPearl_SuperSpinTest 	Actual Win: 31.0% (100 rounds).	 Expect Win: 10.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:18:31,589 	Vs_HawkOnFire_BlackPearl_OthersTest 	Actual Win: 44.0% (100 rounds).	 Expect Win: 50.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:25:16,809 	Vs_Moebius_And_OthersTest 	Actual Win: 59.9% (2000 rounds).	 Expect Win: 56.99999999999999%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:30:57,105 	Vs_SuperSampleBots01Test 	Actual Win: 68.95% (2000 rounds).	 Expect Win: 63.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:36:04,649 	Vs_SuperSampleBots02Test 	Actual Win: 63.65% (2000 rounds).	 Expect Win: 55.00000000000001%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:36:05,862 	Vs_SpinBotTest 	Actual Win: 100.0% (20 rounds).	 Expect Win: 100.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:36:05,862 	Vs_SpinBotTest 	ActualBulletDamage: 1665. Expect: 1600.0	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:36:07,413 	Vs_WallsTest 	Actual Win: 100.0% (20 rounds).	 Expect Win: 100.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:36:07,413 	Vs_WallsTest 	ActualBulletDamage: 1848. Expect: 1800.0	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:36:19,975 	Vs_SuperMecuritoBotTest 	Actual Win: 94.0% (100 rounds).	 Expect Win: 85.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:36:24,187 	Vs_SuperRamFireTest 	Actual Win: 78.0% (100 rounds).	 Expect Win: 75.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:37:14,532 	Vs_SuperSpinBotTest 	Actual Win: 79.4% (500 rounds).	 Expect Win: 70.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:37:23,134 	Vs_SuperWallsTest 	Actual Win: 84.0% (100 rounds).	 Expect Win: 70.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:38:17,047 	Vs_BlackPearlTest 	Actual Win: 65.4% (500 rounds).	 Expect Win: 65.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:39:49,435 	Vs_DiamondTest 	Actual Win: 9.0% (100 rounds).	 Expect Win: 1.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:40:03,837 	Vs_HawkOnFireTest 	Actual Win: 95.0% (100 rounds).	 Expect Win: 50.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 21:41:51,561 	Vs_MoebiusTest 	Actual Win: 93.8% (500 rounds).	 Expect Win: 90.0%	 master.411.7f9dee0	 7f9dee0d1463e1186be9618702d94ecbf4e3403d	  
2019-07-03 22:02:49,458 	Vs_BlackPearl_AndMoebiusTest 	Actual Win: 47.8% (2000 rounds).	 Expect Win: 45.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:07:26,015 	Vs_BlackPearl_AndOthersTest 	Actual Win: 46.0% (2000 rounds).	 Expect Win: 45.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:09:23,953 	Vs_Diamond_HawkOnFire_BlackPearl_SuperSpinTest 	Actual Win: 33.0% (100 rounds).	 Expect Win: 10.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:09:43,906 	Vs_HawkOnFire_BlackPearl_OthersTest 	Actual Win: 47.0% (100 rounds).	 Expect Win: 50.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:15:58,623 	Vs_Moebius_And_OthersTest 	Actual Win: 60.85% (2000 rounds).	 Expect Win: 56.99999999999999%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:21:42,552 	Vs_SuperSampleBots01Test 	Actual Win: 69.19999999999999% (2000 rounds).	 Expect Win: 63.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:26:51,849 	Vs_SuperSampleBots02Test 	Actual Win: 64.1% (2000 rounds).	 Expect Win: 55.00000000000001%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:26:53,062 	Vs_SpinBotTest 	Actual Win: 100.0% (20 rounds).	 Expect Win: 100.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:26:53,063 	Vs_SpinBotTest 	ActualBulletDamage: 1663. Expect: 1600.0	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:26:54,330 	Vs_WallsTest 	Actual Win: 100.0% (20 rounds).	 Expect Win: 100.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:26:54,330 	Vs_WallsTest 	ActualBulletDamage: 1863. Expect: 1800.0	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:27:03,723 	Vs_SuperMecuritoBotTest 	Actual Win: 97.0% (100 rounds).	 Expect Win: 85.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:27:07,688 	Vs_SuperRamFireTest 	Actual Win: 89.0% (100 rounds).	 Expect Win: 75.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:27:47,576 	Vs_SuperSpinBotTest 	Actual Win: 76.6% (500 rounds).	 Expect Win: 70.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:27:53,973 	Vs_SuperWallsTest 	Actual Win: 75.0% (100 rounds).	 Expect Win: 75.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:28:38,274 	Vs_BlackPearlTest 	Actual Win: 74.8% (500 rounds).	 Expect Win: 65.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:30:14,545 	Vs_DiamondTest 	Actual Win: 6.0% (100 rounds).	 Expect Win: 1.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:30:27,910 	Vs_HawkOnFireTest 	Actual Win: 96.0% (100 rounds).	 Expect Win: 85.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
2019-07-03 22:31:56,885 	Vs_MoebiusTest 	Actual Win: 92.80000000000001% (500 rounds).	 Expect Win: 90.0%	 master.412.acba164	 acba164b0e9d1f656f3e9441b52f411a76edfeb9	  
